Album,Song Name,Lyrics
Suicide Season,Chelsea Smile,"I've got a secret.
It's on the tip of my tongue, it's on the back of my lungs.
And I'm gonna keep it.
I know something you don't know.

It sits in silence, eats away at me.
It feeds like cancer. This guilt could fill a fucking sea.
Pulling teeth, wolves at my door.
Now falling and failing is all I know.

This disease is getting worse.
I counted my blessings, now I'll count this curse.
The only thing I really know: I can't sleep at night.
I'm buried and breathing in regret.
Yeah!
The only thing I really know: I can't sleep at night.
I'm buried and breathing in regret.

I've got a secret.
It's on the tip of my tongue, it's on the back of my lungs.
And I'm gonna keep it.
I know something you don't know.

I've got a secret.
It's on the tip of my tongue, it's on the back of my lungs.
And I'm gonna keep it.
I know something you don't know.

I may look happy, but honestly dear,
the only way I'll really smile is if you cut me ear to ear.
I see the vultures, they watch me bleed.
They lick their lips, as all the shame spills out of me.

Repent! Repent! The end is nigh!
Repent! Repent! We're all gonna die!
Repent! Repent! These secrets will kill us!
So get on your knees, and pray for...

Repent! Repent! The end is nigh!
Repent! Repent! We're all gonna die!
Repent! Repent! These secrets will kill us!
So get on your knees, and pray for forgiveness!

We all carry these things inside that no one else can see.
They hold us down like anchors. They drown us out at sea.
I look up to the sky, there may be nothing there to see.
But if I don't believe in him, why would he believe in me?
Why would he believe in me?
Why would he believe in me?
Why would he believe in me?
Why would he believe in me?

Ruh!

I've got a secret.
It's on the tip of my tongue, it's on the back of my lungs.
And I'm gonna keep it.
I know something you don't know.

I've got a secret.
It's on the tip of my tongue, it's on the back of my lungs.
And I'm gonna keep it.
I know something you will never know.
You will never know.
I know something you don't know.
"
Suicide Season,Death Breath,"The sun goes down, we come out, a different party in a different city
The sun comes up, we come down, we lived fast and died pretty
We're all vampires and we own this fucking night
We're all vampires and we own this fucking
I'm not homesick, I'm just so sick of going home, of going home
I've been walking these streets for days in search of blood

Yeah, I'd kill for the sun to never rise again
Yeah, I'd do anything, oh anything
So tie a rope around my neck, pull it tight until it breaks
You can't kill us, we will never fucking die

The sun goes down, we come out, a different party in a different city
The sun comes up, we come down, we lived fast and died pretty
We're all vampires and we own this fucking night
We're all vampires and we own this fucking (Night)
I want to sink my teeth into all of you, all of you
If only I could make you see how sweet this could be, how sweet this could be

Yeah, I'd kill for the sun to never rise again
Yeah, I'd do anything, oh anything
So tie a rope around my neck, pull it tight until it breaks
You can't kill us

But you leave a bad taste in my mouth, so spit it out, so spit it out
But you leave a bad taste in my mouth, so spit it out, so spit it out
You leave a bad taste in my mouth, so spit it out, so spit it out
You leave a bad taste in my mouth, so spit it out, spit it out

Yeah, I'd kill for the sun to never rise again
Yeah, I'd do anything
Yeah, I'd kill for the sun to never rise again
Yeah, I'd do anything, oh anything
So tie a rope around my neck, pull it tight until it breaks
You can't kill us, we will never fucking die

I'm not homesick, I'm just so sick of going home, of going home
I've been walking these streets for days in search of blood
"
Suicide Season,Diamonds Aren't Forever,"We will never sleep 'cause sleep is for the weak
No, we will never rest 'til we're all fucking dead
We will never sleep 'cause sleep is for the weak
No, we will never rest 'til we're all fucking dead
We will never sleep 'cause sleep is for the weak
No, we will never rest 'til we're all fucking dead
We will never sleep 'cause sleep is for the weak
No, we will never rest 'til we're all fucking dead
We will never sleep 'cause sleep is for the weak
No, we will never rest 'til we're all fucking dead
We will never sleep 'cause sleep is for the weak
No, we will never rest 'til we're all fucking dead

I refuse, I refuse
I refuse to close my eyes

I have loved, and I have lost
I have turned, and I have tossed
I have listened, and I have watched
I've gave into this for long enough
I have lost, and I have loved
Sleep has stolen far too much
So don't close your eyes, not just yet
Sleep is just a cousin of death

I've said it before, and I'll say it again
If you think you're alive then you're better off dead
I've said it before, and I'll say it again
If you think you're alive then you're better off dead
Figure it out
I've said it before, and I'll say it again
If you think you're alive then you're better off dead
I've said it before, and I'll say it again
If you think you're alive then you're better off dead
Figure it out

I have loved, and I have lost
I have turned, and I have tossed
I have listened, and I have watched
I've gave into this for long enough
I have lost, and I have loved
Sleep has stolen far too much
So don't close your eyes, not just yet
Sleep is just a cousin of death

So throw your diamonds in the sky, we'll stay gold forever
So throw your diamonds in the sky, we'll stay gold forever

I can promise you one thing: death will take us all
I can promise you one thing: you will die alone
We're all going to hell, we may as well go out in style
Death is a promise, and your life is a fucking lie

We will never sleep because sleep is for the weak
No, we will never rest until we're all fucking dead
We will never sleep because sleep is for the weak
No, we will never rest until we're all fucking dead

I refuse, I refuse
I refuse to close my eyes "
Suicide Season,Football Season Is Over,"Why the fuck can I not hail a taxi?
Arm out like a Nazi - every cunt's driving past
Where the fuck is everyone?
I can't see anyone. I can't see anything!

The hardest part of today is a hangover
Empty bottles and empty promises
The hardest part of today is a hangover

I got every person I need
And it's gonna be one hell of a messy night!

I can't remember last night. I can't remember anything!
I can't remember last night. I can't remember anything!

Party 'til you pass out, drink 'til you're dead
Dance all night 'til you can't feel your legs
Party 'til you pass out, drink 'til you're dead
Dance all night...
Dance all night...

We are done with giving a fuck "
Suicide Season,It Was Written in Blood,"Goodbye, my friend, goodbye, my love, you're in my heart
It was preordained that we should part
And be reunited by and by, united by and by
Goodbye, no handshake to endure, now there's nothing

It was written in blood, it was written in blood
It was written in blood, oh, God, written in blood
It was written in blood, it was written in blood
Oh, my God, it was written in blood

Let's have no sadness, furrowed brow
There's nothing new in dying now
Let's have no sadness, furrowed brow
There's nothing new in dying now

Though living is no newer, though living is no newer
And it was written in blood

It was written in blood, it was written in blood
It was written in blood, oh, God, written in blood
It was written in blood, it was written in blood
Oh, my God, it was written in blood on a suicide note

Like roses, we blossom then die
Like roses, we blossom then die
Like roses, we blossom then die
We fall apart
We fall apart, fall apart
Like roses, we blossom then die
Like roses, we blossom then die
We fall apart
We fall apart
Like roses, we fall apart, fall apart

Though living is no newer, though living is no newer
(It was written in blood, on a fucking suicide note
The day before he died)

It was written in blood, it was written in blood
It was written in blood, my God, written in blood
It was written in blood, it was written in blood
Oh, my God, it was written in blood

Like roses, we blossom then die
Like roses, we blossom then die
We fall apart (Fall apart)
We fall apart (Fall apart)
Fall apart
We fall

Like roses
Like roses
Roses (Roses)
Roses (Like roses)
Like roses
Like roses (Like roses)
I love the sound of breaking bones
"
Suicide Season,"No Need for Introductions, I've Read About Girls Like You on the Backs of Toilet Doors","For people like you, there is no such thing as an early grave
You wanted to gut my dreams 'til I was empty and show everyone my remains

And after everything you've put me through, I should've fucking pissed on you!

Thank you "
Suicide Season,Sleep With One Eye Open,"Fuck you

You took what you wanted and left, like locusts
Everything I gave to you, everything that we've been through
You bled me dry and then went, like leeches
Go, you got what you could now leave, like vultures
Ripped apart in minutes what was built in seven years
The ink scarred on your back may as well have disappeared
For as long as I remember, you sold everything you owned
But now you sold our friendship, you're on your fucking own

Sleep with one eye open
Sleep with one eye open

If I had it my way I'd slit your throat with the knife that you left in my back
All this shame, all this guilt, all this regret, that's me
I'm inside of you, I'm inside of you
I'm inside of you, I'm inside of you
And this is your world, fucking falling apart, mate
From the inside out, everything will fall apart at your feet
You got hell to pay, yeah, you got hell to pay
And you better fucking bow down to me
You better beg for mercy
Get on your fucking knees and cry me a fucking river

Sleep with one eye open
Sleep with one eye open
Sleep with one eye open

Best friends means forever
Best friends means forever
Cunt "
Suicide Season,Suicide Season,"We stare at broken clocks, the hands don't turn anymore
The days turn into nights, empty hearts and empty places
The day you lost him, I slowly lost you too
For when he died, he took a part of you
No time for farewells, no chances for goodbyes
No explanations, no fucking reasons why
I watched it eat you up, pieces fallen on the floor
We stare at broken clocks, the hands don't turn anymore
If only sorrow could build a staircase, our tears could show the way
I would climb my way to Heaven, and bring him back home again
Don't give up hope my friend, this is not the end
We stare at broken clocks, the hands don't turn anymore
The days turn into nights, empty hearts and empty places
The day you lost him, I slowly lost you too
For when he died, he took a part of you
Death is only a chapter
So let's rip out the pages of yesterday
Death is only a horizon
And I'm ready for my sun,
I'm ready for my sun to,
I'm ready for my sun,
I'm ready for my sun to set
This is suicide season!
If only sorrow could build a staircase, our tears could show the way
We would climb our way to Heaven, and bring him home again
If only sorrow could build a staircase, or tears could show the way
We would climb our way to Heaven, and bring him home again
If only sorrow could build a staircase, our tears could show the way
We would climb our way to Heaven, and bring him home again
We would do anything to bring him back to you
We would do anything to end what you're going through
If only sorrow could build a staircase, our tears could show the way
I would climb my way to Heaven, and bring him home again
I would do anything to bring him back to you
Because if you got him back, I would get back the friend that I once knew"
Suicide Season,The Comedown,"Urgh!

Here I am, once again, just like a pack of wolves
The skies were once paved with gold, now they rain on us all
I've made my bed so I'll lie in it
I've dug my grave so I'll die in it

(Tell all my friends, I said goodbye)
(Clenched teeth and fluttering eyes)
(I can't go on like this)
Tell all my friends, I said goodbye
Clenched teeth and fluttering eyes
I can't go on like this

Just like the living dead, yeah, I've got a taste for something
And I don't want it, I just need it and I can't believe that
It's getting harder just to feel alive
It's getting harder just to feel alive

Curtains close, take a bow, I think we fooled all of them now
Who you are, what you say, what you do each and every single day
I've made my bed so I'll lie in it
I've dug my grave so, God, help me die in it

Just like the living dead, yeah, I've got a taste for something
And I don't want it, I just need it and I can't believe that
Just like the living dead, yeah, I've got a taste for something
And I don't want it, I just need it and I can't believe that

And I dug my grave, so I'll lie in it, lie in it, lie in it
I've made my bed, so I'll die in it, die in it
I dug my grave
And I dug my grave
I'd rather live than live forever
I'm knocking on Death's door, but you're already dead
It's either now or fucking never
And that night we meant every word we said, all I can say
All I can say for sure is, we're coming out tonight
All I can say for sure is, we're coming up tonight

Just like the living dead, just like the living dead
Just like the living dead, I've got a taste for something
And I don't want it, I just need it and I can't believe that
Just like the living dead, yeah, I've got a taste for something
And I don't want it, I just need it and I can't believe that
Just like the living dead, yeah, I've got a taste for something
And I don't want it, I just need it and I can't believe that

It's getting harder just to feel alive
It's getting harder just to feel alive
"
Suicide Season,The Sadness Will Never End,"Our legs begin to break, we've walked this path for far too long
My lungs, they start to ache, but still, we carry on
I'm chokin' on my words like I got a noose around my neck
I can't believe it's come to this, I can't believe it's got to this
And dear, I fear that this ship is sinkin' tonight

(I won't give up on you), these scars won't tear us apart
{So don't give up on me}, it's not too late for us
And I'll save you from yourself
And I'll save you from yourself

Our legs begin to break, we've walked this path for far too long
My lungs begin to ache, but still, we carry on
I'm chokin' on my words like I got a noose around my neck
(I'm not comin' home tonight, I'm not comin' home tonight)
'Cause, dear, I fear, oh, dear, I fear
(I'm not comin' home tonight, I'm not comin' home tonight)
'Cause, dear, I fear this ship is sinkin'
Is there hope for us? Can we make it out alive?
(I can taste the failure on your lips)
Is there hope for us? Can we make it out alive?
I can taste the failure
(Close your eyes), there's nothing we can do
(But sleep in this bed that we made for) {ourselves}
(You're trapped in your past) {like it's six feet under}

(I won't give up on you), these scars won't tear us apart
{So don't give up on me}, it's not too late for us
I'll save you from yourself, (I'll save you from yourself)
I'll save you from yourself, (I'll save you from yourself)

Try to numb the pain with alcohol and pills
But it won't repair your trust
You can't stand on two fuckin' feet
With a substance as a crutch

Yeah, I won't give up
(I won't give up on you), we'll sing this symphony
I won't give up
(I won't give up on you), we'll sing this symphony of sympathy
I won't give up
(I won't give up on you), we'll sing this symphony, a symphony
I won't give up
{I won't give up on you}, we'll sing this symphony of sympathy
"
